event_starttime,hgc_x,hgc_y
2019-01-02T00:00:00,-144.70959,10
2019-01-03T00:00:00,-144.87986,9
2019-01-04T00:00:00,-144.0499,9
2019-01-05T00:00:00,-145.2197,10
2019-01-06T00:00:00,-143.38927,10
2019-01-07T00:00:00,-145.55862,9
2019-01-23T00:00:00,-103.24284,6
2019-01-24T00:00:00,-102.40942,6
2019-01-25T00:00:00,-100.57593,6
2019-01-26T00:00:00,-100.74236,6
2019-01-27T00:00:00,-99.90874,6
2019-01-28T00:00:00,-99.07507,5
2019-01-29T00:00:00,-99.24136,6
2019-01-30T00:00:00,-97.40762,5
2019-01-31T00:00:00,-97.57388,4
2019-03-13T00:00:00,65.44313,8
2019-03-22T00:00:00,-100.19013,2
2019-03-25T00:00:00,-76.74684,8
2019-04-01T00:00:00,59.92821,12
2019-04-02T00:00:00,60.735852,12
2019-04-03T00:00:00,62.542711,12
2019-04-04T00:00:00,61.348778,13
2019-04-08T00:00:00,-61.43495,6
2019-04-09T00:00:00,-62.6329,6
2019-04-10T00:00:00,-61.83166,6
2019-04-11T00:00:00,-62.03123,6
2019-04-12T00:00:00,-62.23162,6
2019-04-13T00:00:00,-62.43282,6
2019-04-14T00:00:00,-62.63484,6
2019-04-15T00:00:00,-62.83767,6
2019-04-16T00:00:00,-61.04131,6
2019-04-17T00:00:00,-60.24577,6
2019-04-18T00:00:00,-59.45104,6
2019-04-18T00:00:00,-104.45104,5
2019-04-19T00:00:00,-58.65712,6
2019-04-19T00:00:00,-101.65712,5
2019-04-20T00:00:00,-99.864,5
2019-04-20T00:00:00,-57.864,6
2019-04-21T00:00:00,-94.07169,6
2019-05-04T00:00:00,-52.84257,12
2019-05-05T00:00:00,-53.060942,9
2019-05-06T00:00:00,-53.28001894,8
2019-05-07T00:00:00,-52.49979,7
2019-05-07T00:00:00,-93.49979,5
2019-05-08T00:00:00,-53.72025,8
2019-05-08T00:00:00,-91.72025,5
2019-05-09T00:00:00,-52.94139,8
2019-05-09T00:00:00,-90.94139,5
2019-05-10T00:00:00,-52.16319,8
2019-05-10T00:00:00,-90.16319,6
2019-05-11T00:00:00,-52.38564,8
2019-05-11T00:00:00,-90.38564,6
2019-05-12T00:00:00,-51.60874,8
2019-05-12T00:00:00,-89.60874,6
2019-05-13T00:00:00,-51.83246,8
2019-05-13T00:00:00,-89.83246,6
2019-05-14T00:00:00,-89.05681,5
2019-05-14T00:00:00,-52.05681,8
2019-05-15T00:00:00,-88.28176,6
2019-05-15T00:00:00,-51.28176,8
2019-05-16T00:00:00,-87.50731,5
2019-05-17T00:00:00,-87.73343,5
2019-05-18T00:00:00,-87.96013,5
2019-05-19T00:00:00,-88.18738,5
2019-06-25T00:00:00,92.153657,4
2019-06-25T00:00:00,111.153657,3
2019-06-26T00:00:00,112.916835,3
2019-06-27T00:00:00,113.680077,3
2019-06-28T00:00:00,115.443398,3
2019-07-08T00:00:00,-150.91574,-27
2019-07-23T00:00:00,83.593761,2
2019-08-06T00:00:00,-144.58263,-5
2019-08-07T00:00:00,-160.8059,6
2019-09-02T00:00:00,-155.42431,14
2019-09-03T00:00:00,-153.63318,14
2019-10-03T00:00:00,129.32219,-9
2019-11-02T00:00:00,116.61078,-28
2019-11-03T00:00:00,154.42472,5
2019-12-26T00:00:00,121.92477,-29
2019-12-26T00:00:00,-169.07523,25
2019-12-27T00:00:00,119.75266,-29
